question_id,interest_question,career_options
1,Do you enjoy solving problems and thinking logically?,"['Software Engineer', 'Data Analyst', 'Lawyer', 'Engineer']"
2,Do you like helping people with their health or emotions?,"['Medical Doctor', 'Nurse', 'Psychologist', 'Counselor']"
3,"Do you enjoy teaching, mentoring, or guiding others?","['Teacher', 'Lecturer', 'Trainer', 'Advisor']"
4,Would you like to start or manage a business?,"['Entrepreneur', 'Business Manager', 'Startup Founder', 'Marketing Manager']"
5,"Are you interested in working with machines, electronics, or fixing things?","['Mechanical Engineer', 'Technician', 'Electrician', 'Automotive Engineer']"
6,"Do you enjoy creating art, music, or visual designs?","['Graphic Designer', 'Fashion Designer', 'Animator', 'Music Producer']"
7,"Are you interested in writing, reading, or telling stories?","['Journalist', 'Author', 'Copywriter', 'Editor']"
8,Do you want to travel and explore new cultures?,"['Tour Guide', 'Travel Blogger', 'Flight Attendant', 'Cultural Ambassador']"
9,"Are you passionate about justice, laws, or human rights?","['Lawyer', 'Social Worker', 'Policy Analyst', 'Human Rights Advocate']"
10,"Would you like to work with money, budgeting, or finance?","['Accountant', 'Financial Analyst', 'Banker', 'Economist']"
11,Do you enjoy working outdoors or with nature?,"['Agricultural Engineer', 'Environmental Scientist', 'Geologist', 'Wildlife Officer']"
12,Do you want to help improve your community or country?,"['Community Development Officer', 'NGO Worker', 'Public Administrator', 'Policy Advisor']"
13,"Do you like managing people, schedules, or resources?","['Project Manager', 'Operations Manager', 'HR Manager', 'Administrator']"
14,Are you interested in understanding how the human body works?,"['Biologist', 'Physiotherapist', 'Pharmacist', 'Biomedical Scientist']"
15,Do you enjoy building or designing physical structures?,"['Architect', 'Civil Engineer', 'Construction Manager', 'Urban Planner']"
16,Would you like to protect others and enforce rules?,"['Police Officer', 'Firefighter', 'Security Officer', 'Military Personnel']"
17,"Are you passionate about computers, coding, or software?","['Software Developer', 'Web Developer', 'System Analyst', 'AI Engineer']"
18,Do you want to make discoveries in science or research?,"['Research Scientist', 'Lab Technician', 'Physicist', 'Chemist']"
19,"Are you interested in the economy, trade, or entrepreneurship?","['Economist', 'Trade Analyst', 'Entrepreneur', 'Investment Advisor']"
20,Do you enjoy using social media or creating online content?,"['Digital Marketer', 'Content Creator', 'Influencer', 'SEO Specialist']"
21,Would you like to work with animals?,"['Veterinarian', 'Animal Scientist', 'Zoologist', 'Wildlife Conservationist']"
22,"Are you interested in fashion, beauty, or personal care?","['Fashion Designer', 'Makeup Artist', 'Cosmetologist', 'Beauty Consultant']"
23,Do you like helping people with personal issues?,"['Counselor', 'Social Worker', 'Therapist', 'Life Coach']"
24,Do you enjoy working with numbers and patterns?,"['Statistician', 'Mathematician', 'Data Scientist', 'Actuary']"
25,Would you like to work in the media or entertainment industry?,"['TV Presenter', 'Actor', 'Radio Host', 'Film Director']"
26,Are you passionate about the environment and sustainability?,"['Environmental Scientist', 'Conservationist', 'Ecologist', 'Climate Analyst']"
27,Do you enjoy making or fixing electronic gadgets?,"['Electronics Engineer', 'Repair Technician', 'Robotics Technician', 'Hardware Engineer']"
28,Do you want to help children learn and grow?,"['Primary School Teacher', 'Child Psychologist', 'Daycare Worker', 'Educational Consultant']"
29,Would you like to explore space or aviation?,"['Astronomer', 'Aerospace Engineer', 'Pilot', 'Satellite Technician']"
30,Are you interested in using AI or robotics to solve problems?,"['AI Engineer', 'Robotics Developer', 'Machine Learning Engineer', 'Automation Specialist']"
